element,sp_num,obs_wl_vac(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,
Fe,1,"=""852.7371""","=""0.0011""","=""25""","=""""",,"=""36975.588""","=""48702.535""","=""3d7.(2F).4s""","=""d 3F""","=""3""","=""3d6.(3H).4s.4p.(3P*)""","=""y 1G*""","=""4""",,
Fe,1,"=""852.90110""","=""0.00022""","=""500""","=""1.77e+06""",C,"=""39625.804""","=""51350.492""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""4""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""4""",,
Fe,1,"=""853.0196""","=""0.0006""","=""60""","=""""",,"=""40491.284""","=""52214.345""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""0""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""1""",,
Ti,1,"=""853.3725""","=""0.0009""","=""8""","=""""",,"=""13981.773""","=""25699.987""","=""3d3.(4P).4s""","=""a 5P""","=""1""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""2""",,
Fe,1,"=""854.03604""","=""0.00022""","=""123""","=""""",,"=""39625.804""","=""51334.911""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""4""","=""3d6.(5D).4s (6D).4d""","=""e 7G""","=""4""",,
Ti,1,"=""854.1692""","=""0.0009""","=""23""","=""""",,"=""18061.387""","=""29768.675""","=""3d3.(2P).4s""","=""b 3P""","=""1""","=""3d2.(3F).4s.4p.(1P*)""","=""w 3D*""","=""2""",,
Ti,1,"=""855.0436""","=""0.0009""","=""91""","=""""",,"=""15108.111""","=""26803.420""","=""3d3.(2G).4s""","=""a 3G""","=""3""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3F*""","=""2""",,
Ti,1,"=""855.2887""","=""0.0009""","=""8""","=""""",,"=""14105.634""","=""25797.595""","=""3d3.(4P).4s""","=""a 5P""","=""3""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""3""",,
Fe,1,"=""856.2093""","=""0.0011""","=""24""","=""""",,"=""41178.412""","=""52857.804""","=""3d8""","=""3P""","=""1""","=""3d7.(2D2).4p""","=""t 3D*""","=""1""",,
Fe,1,"=""856.4458""","=""0.0006""","=""72""","=""""",,"=""36079.372""","=""47755.537""","=""3d7.(4F).4p""","=""z 3G*""","=""3""","=""3d7.(4F).5s""","=""e 5F""","=""3""",,
Ti,1,"=""856.7841""","=""0.0009""","=""11""","=""""",,"=""14028.436""","=""25699.987""","=""3d3.(4P).4s""","=""a 5P""","=""2""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""2""",,
Fe,1,"=""857.0144""","=""0.0011""","=""16""","=""""",,"=""39625.804""","=""51294.220""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""4""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""3""",,
Ti,1,"=""857.2092""","=""0.0009""","=""11""","=""""",,"=""17995.487""","=""29661.250""","=""3d3.(2P).4s""","=""b 3P""","=""0""","=""3d2.(3F).4s.4p.(1P*)""","=""w 3D*""","=""1""",,
Fe,1,"=""857.2453""","=""0.0006""","=""71""","=""""",,"=""45509.152""","=""57174.430""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""1""","=""3d6.4s.(6D).6p""","=""7F*""","=""1""",,
Fe,1,"=""857.41595""","=""0.00022""","=""162""","=""""",,"=""40404.518""","=""52067.469""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""1""","=""3d6.(5D).4s (6D).4d""","=""e 5P""","=""2""",,
Ti,1,"=""858.0783""","=""0.0009""","=""10""","=""""",,"=""13981.773""","=""25635.725""","=""3d3.(4P).4s""","=""a 5P""","=""1""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""1""",,
Fe,1,"=""858.46144""","=""0.00022""","=""710""","=""7.40e+04""",C,"=""24118.819""","=""35767.564""","=""3d6.4s2""","=""b 3G""","=""4""","=""3d7.(4F).4p""","=""z 3G*""","=""4""",,
Fe,1,"=""858.7153""","=""0.0011""","=""27""","=""""",,"=""40404.518""","=""52049.823""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""1""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""2""",,
Fe,1,"=""859.53107""","=""0.00022""","=""251""","=""""",,"=""39969.853""","=""51604.103""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""f 5F""","=""3""",,
Ti,1,"=""859.7998""","=""0.0009""","=""3""","=""""",,"=""13981.773""","=""25612.388""","=""3d3.(4P).4s""","=""a 5P""","=""1""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""0""",,
Ti,1,"=""860.0534""","=""0.0009""","=""17""","=""""",,"=""18287.554""","=""29914.737""","=""3d3.(2G).4s""","=""b 1G""","=""4""","=""3d2.(1G).4s.4p.(3P*)""","=""x 3G*""","=""3""",,
Fe,1,"=""860.11918""","=""0.00022""","=""490""","=""6.69e+05""",B,"=""35379.208""","=""47005.506""","=""3d7.(4F).4p""","=""z 3G*""","=""5""","=""3d7.(4F).5s""","=""e 5F""","=""5""",,
Ti,1,"=""860.3340""","=""0.0009""","=""6""","=""""",,"=""18145.286""","=""29768.675""","=""3d3.(2P).4s""","=""b 3P""","=""2""","=""3d2.(3F).4s.4p.(1P*)""","=""w 3D*""","=""2""",,
Fe,1,"=""860.9444""","=""0.0006""","=""81""","=""""",,"=""40404.518""","=""52019.669""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""1""","=""3d6.(5D).4s (6D).4d""","=""e 5P""","=""1""",,
Mg,1,"=""861.208""","=""""","=""3d""","=""""",,"=""49346.729""","=""60958.31""","=""3s.4p""","=""1P*""","=""1""","=""3s.13d""","=""1D""","=""2""",,
Fe,1,"=""861.29767""","=""0.00022""","=""200""","=""""",,"=""35767.564""","=""47377.955""","=""3d7.(4F).4p""","=""z 3G*""","=""4""","=""3d7.(4F).5s""","=""e 5F""","=""4""",,
Fe,1,"=""861.41690""","=""0.00022""","=""4680""","=""1.27e+06""",C+,"=""22946.816""","=""34555.597""","=""3d7.(4P).4s""","=""b 3P""","=""1""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""0""",,
Ti,1,"=""861.5276""","=""0.0009""","=""3""","=""""",,"=""14028.436""","=""25635.725""","=""3d3.(4P).4s""","=""a 5P""","=""2""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""1""",,
Fe,1,"=""861.63066""","=""0.00022""","=""182""","=""""",,"=""40231.336""","=""51837.238""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""e 5P""","=""3""",,
Fe,1,"=""861.86458""","=""0.00022""","=""263""","=""""",,"=""39625.804""","=""51228.553""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""4""","=""3d6.(5D).4s (6D).4d""","=""e 7G""","=""5""",,
Fe,1,"=""861.8841""","=""0.0006""","=""138""","=""""",,"=""28604.613""","=""40207.091""","=""3d7.(2D2).4s""","=""a 1D""","=""2""","=""3d5.(6S).4s2.4p""","=""y 7P*""","=""3""",,
Ti,1,"=""862.0454""","=""0.0009""","=""5""","=""""",,"=""29768.675""","=""41368.996""","=""3d2.(3F).4s.4p.(1P*)""","=""w 3D*""","=""2""","=""3d2.4s.(2F).5s""","=""3F""","=""3""",,
Ti,1,"=""862.0794""","=""0.0009""","=""8""","=""""",,"=""18061.387""","=""29661.250""","=""3d3.(2P).4s""","=""b 3P""","=""1""","=""3d2.(3F).4s.4p.(1P*)""","=""w 3D*""","=""1""",,
Fe,1,"=""862.39684""","=""0.00022""","=""550""","=""3.89e+04""",D+,"=""23783.619""","=""35379.208""","=""3d6.4s2""","=""b 3G""","=""5""","=""3d7.(4F).4p""","=""z 3G*""","=""5""",,
Ti,1,"=""862.4873""","=""0.0019""","=""2q""","=""""",,"=""14105.634""","=""25699.987""","=""3d3.(4P).4s""","=""a 5P""","=""3""","=""3d2.(3P).4s.4p.(3P*)""","=""5D*""","=""2""",,
Ti,1,"=""862.5798""","=""0.0009""","=""3""","=""""",,"=""13981.773""","=""25574.908""","=""3d3.(4P).4s""","=""a 5P""","=""1""","=""3d2.(1D).4s.4p.(3P*)""","=""3P*""","=""0""",,
Fe,1,"=""863.4785""","=""0.0011""","=""68""","=""""",,"=""33095.941""","=""44677.006""","=""3d7.(4F).4p""","=""y 5D*""","=""4""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""4""",,
Ti,1,"=""864.3857""","=""0.0009""","=""6""","=""""",,"=""29912.286""","=""41481.207""","=""3d2.(3F).4s.4p.(1P*)""","=""w 3D*""","=""3""","=""3d2.4s.(2F).5s""","=""3F""","=""4""",,
Na,1,"=""865.230""","=""0.002""","=""7""","=""2.25e+05""",B+,"=""25739.999""","=""37297.61""","=""2p6.4s""","=""2S""","=""1/2""","=""2p6.6p""","=""2P*""","=""3/2""",,
Na,1,"=""865.327""","=""0.002""","=""6""","=""2.21e+05""",B+,"=""25739.999""","=""37296.32""","=""2p6.4s""","=""2S""","=""1/2""","=""2p6.6p""","=""2P*""","=""1/2""",,
Fe,1,"=""865.9056""","=""0.0011""","=""22""","=""""",,"=""40491.284""","=""52039.892""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""0""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""1""",,
Fe,1,"=""866.42786""","=""0.00023""","=""20900""","=""5.16e+05""",C+,"=""17927.382""","=""29469.024""","=""3d7.(4P).4s""","=""a 5P""","=""1""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5P*""","=""2""",,
Fe,1,"=""866.6095""","=""0.0006""","=""105""","=""""",,"=""40231.336""","=""51770.557""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""2""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""3""",,
Fe,1,"=""867.4241""","=""0.0006""","=""24""","=""""",,"=""40491.284""","=""52019.669""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""0""","=""3d6.(5D).4s (6D).4d""","=""e 5P""","=""1""",,
Fe,1,"=""867.71286""","=""0.00023""","=""6900""","=""6.17e+05""",C,"=""22838.323""","=""34362.873""","=""3d7.(4P).4s""","=""b 3P""","=""2""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""1""",,
Ti,1,"=""867.7754""","=""0.0009""","=""550""","=""4.61e+05""",B,"=""8602.3441""","=""20126.062""","=""3d2.4s2""","=""a 3P""","=""2""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3D*""","=""3""",,
Fe,1,"=""868.2019""","=""0.0006""","=""62""","=""""",,"=""40052.035""","=""51570.097""","=""3d5.(6S).4s2.4p""","=""y 7P*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""e 7S""","=""3""",,
Fe,1,"=""868.3644""","=""0.0011""","=""1150""","=""""",,"=""42859.778""","=""54375.677""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 5P*""","=""2""","=""3d7.(4F).4d""","=""f 5G""","=""2""",,
Ti,1,"=""868.5365""","=""0.0009""","=""310""","=""3.59e+05""",B,"=""8492.422""","=""20006.039""","=""3d2.4s2""","=""a 3P""","=""1""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3D*""","=""2""",,
Ti,1,"=""868.6618""","=""0.0009""","=""7""","=""""",,"=""13981.773""","=""25493.733""","=""3d3.(4P).4s""","=""a 5P""","=""1""","=""3d2.(1D).4s.4p.(3P*)""","=""3P*""","=""2""",,
Fe,1,"=""869.10113""","=""0.00023""","=""8100""","=""7.74e+05""",B,"=""17550.181""","=""29056.324""","=""3d7.(4P).4s""","=""a 5P""","=""3""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5P*""","=""3""",,
Fe,1,"=""869.2251""","=""0.0006""","=""48""","=""""",,"=""41178.412""","=""52682.920""","=""3d8""","=""3P""","=""1""","=""3d7.(2D2).4p""","=""t 3D*""","=""2""",,
Ti,1,"=""869.4716""","=""0.0009""","=""150""","=""2.99e+05""",B,"=""8436.618""","=""19937.855""","=""3d2.4s2""","=""a 3P""","=""0""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3D*""","=""1""",,
Fe,1,"=""870.1095""","=""0.0011""","=""22""","=""""",,"=""24118.819""","=""35611.625""","=""3d6.4s2""","=""b 3G""","=""4""","=""3d7.(4F).4p""","=""z 5G*""","=""3""",,
Fe,1,"=""870.1215""","=""0.0015""","=""31""","=""""",,"=""45562.974""","=""57055.616""","=""3d6.(3H).4s.4p.(3P*)""","=""y 3G*""","=""3""","=""3d6.4s.(6D).5d""","=""5G""","=""3""",,
Fe,1,"=""870.18427""","=""0.00023""","=""890""","=""4.08e+06""",D+,"=""39969.853""","=""51461.670""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""f 5F""","=""4""",,
Mg,1,"=""870.953""","=""""","=""5""","=""""",,"=""49346.729""","=""60828.41""","=""3s.4p""","=""1P*""","=""1""","=""3s.12d""","=""1D""","=""2""",,
Mg,1,"=""871.2567""","=""""","=""10""","=""7.97e+05""",D,"=""47841.119""","=""59318.793""","=""3s.4p""","=""3P*""","=""0""","=""3s.7d""","=""3D""","=""1""",,
Fe,1,"=""871.27832""","=""0.00023""","=""1230""","=""""",,"=""39625.804""","=""51103.191""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""4""","=""3d6.(5D).4s (6D).4d""","=""f 5F""","=""5""",,
Mg,1,"=""871.5082""","=""""","=""12""","=""1.07e+06""",D+,"=""47844.414""","=""59318.775""","=""3s.4p""","=""3P*""","=""1""","=""3s.7d""","=""3D""","=""2""",,
Fe,1,"=""871.5278""","=""0.0011""","=""85""","=""""",,"=""45833.223""","=""57307.320""","=""3d6.(3F2).4s.4p.(3P*)""","=""x 5G*""","=""4""","=""3d6.4s.(6D).5d""","=""7F""","=""4""",,
Fe,1,"=""871.55960""","=""0.00023""","=""331""","=""""",,"=""40231.336""","=""51705.014""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""f 5F""","=""2""",,
Mg,1,"=""872.0219""","=""""","=""13""","=""1.43e+06""",D+,"=""47851.162""","=""59318.764""","=""3s.4p""","=""3P*""","=""2""","=""3s.7d""","=""3D""","=""3""",,
Ti,1,"=""872.1974""","=""0.0009""","=""16""","=""""",,"=""14028.436""","=""25493.733""","=""3d3.(4P).4s""","=""a 5P""","=""2""","=""3d2.(1D).4s.4p.(3P*)""","=""3P*""","=""2""",,
Ti,1,"=""872.4981""","=""0.0009""","=""3""","=""""",,"=""27498.172""","=""38959.507""","=""3d3.(2F).4s""","=""1F""","=""3""","=""3d3.(2G).4p""","=""x 1G*""","=""4""",,
Ti,1,"=""872.8197""","=""0.0009""","=""3""","=""""",,"=""13981.773""","=""25438.908""","=""3d3.(4P).4s""","=""a 5P""","=""1""","=""3d3.(4F).4p""","=""y 3D*""","=""2""",,
Fe,1,"=""873.1544""","=""0.0006""","=""37""","=""""",,"=""27543.003""","=""38995.736""","=""3d7.(2P).4s""","=""a 1P""","=""1""","=""3d7.(4F).4p""","=""y 3D*""","=""1""",,
Ti,1,"=""873.7110""","=""0.0009""","=""110""","=""2.30e+05""",B,"=""8492.422""","=""19937.855""","=""3d2.4s2""","=""a 3P""","=""1""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3D*""","=""1""",,
Mg,1,"=""873.8420""","=""""","=""17*""","=""1.62e+06""",D+,"=""47957.027""","=""59400.763""","=""3s.3d""","=""3D""","=""2""","=""3s.7f""","=""3F*""","=""3""",,
Mg,1,"=""873.8420""","=""""","=""17*""","=""1.83e+06""",C,"=""47957.045""","=""59400.763""","=""3s.3d""","=""3D""","=""3""","=""3s.7f""","=""3F*""","=""4""",,
Mg,1,"=""873.8420""","=""""","=""17*""","=""1.54e+06""",D+,"=""47957.058""","=""59400.763""","=""3s.3d""","=""3D""","=""1""","=""3s.7f""","=""3F*""","=""2""",,
Ti,1,"=""873.9716""","=""0.0009""","=""3""","=""""",,"=""30039.170""","=""41481.207""","=""3d2.(1G).4s.4p.(3P*)""","=""x 3G*""","=""5""","=""3d2.4s.(2F).5s""","=""3F""","=""4""",,
Fe,1,"=""874.9826""","=""0.0015""","=""35bl""","=""""",,"=""24338.767""","=""35767.564""","=""3d6.4s2""","=""b 3G""","=""3""","=""3d7.(4F).4p""","=""z 3G*""","=""4""",,
Ti,1,"=""875.2594""","=""0.0009""","=""2""","=""""",,"=""34204.985""","=""45630.180""","=""3d2.(1G).4s.4p.(3P*)""","=""v 3F*""","=""4""","=""3d2.4s.(2F).4d""","=""3G""","=""5""",,
Fe,1,"=""875.3429""","=""0.0006""","=""85""","=""""",,"=""47966.585""","=""59390.684""","=""3d5.(6S).4s2.4p""","=""v 5P*""","=""3""","=""""","=""59390e""","=""3""",,
Fe,1,"=""875.95921""","=""0.00023""","=""3630""","=""3.52e+05""",C,"=""22946.816""","=""34362.873""","=""3d7.(4P).4s""","=""b 3P""","=""1""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""1""",,
Ti,1,"=""876.3888""","=""0.0009""","=""7""","=""""",,"=""14028.436""","=""25438.908""","=""3d3.(4P).4s""","=""a 5P""","=""2""","=""3d3.(4F).4p""","=""y 3D*""","=""2""",,
Fe,1,"=""876.63726""","=""0.00023""","=""3020""","=""""",,"=""37521.161""","=""48928.388""","=""3d7.(4F).4p""","=""y 3F*""","=""2""","=""3d7.(4F).5s""","=""e 3F""","=""2""",,
Ti,1,"=""876.9090""","=""0.0009""","=""100""","=""1.20e+05""",B,"=""8602.3441""","=""20006.039""","=""3d2.4s2""","=""a 3P""","=""2""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3D*""","=""2""",,
Ti,1,"=""877.3549""","=""0.0009""","=""2""","=""""",,"=""29971.086""","=""41368.996""","=""3d2.(1G).4s.4p.(3P*)""","=""x 3G*""","=""4""","=""3d2.4s.(2F).5s""","=""3F""","=""3""",,
Ti,1,"=""878.1099""","=""0.0009""","=""25""","=""""",,"=""14105.634""","=""25493.733""","=""3d3.(4P).4s""","=""a 5P""","=""3""","=""3d2.(1D).4s.4p.(3P*)""","=""3P*""","=""2""",,
Fe,1,"=""878.68522""","=""0.00023""","=""145""","=""""",,"=""39969.853""","=""51350.492""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""3""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""4""",,
Fe,1,"=""879.29351""","=""0.00023""","=""427""","=""3.20e+06""",C,"=""40231.336""","=""51604.103""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""f 5F""","=""3""",,
Fe,1,"=""879.57580""","=""0.00023""","=""3800""","=""""",,"=""37162.746""","=""48531.865""","=""3d7.(4F).4p""","=""y 3F*""","=""3""","=""3d7.(4F).5s""","=""e 3F""","=""3""",,
Ti,1,"=""879.6849""","=""0.0009""","=""3""","=""""",,"=""34700.215""","=""46067.923""","=""3d3.(2G).4p""","=""z 1H*""","=""5""","=""3d2.4s.(2F).4d""","=""e 1G""","=""4""",,
Fe,1,"=""879.88986""","=""0.00023""","=""95""","=""""",,"=""39969.853""","=""51334.911""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""e 7G""","=""4""",,
Fe,1,"=""880.70431""","=""0.00023""","=""355""","=""1.67e+04""",B,"=""18378.186""","=""29732.736""","=""3d6.4s2""","=""a 3P2""","=""2""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5P*""","=""1""",,
Mg,1,"=""880.9175""","=""""","=""50""","=""1.27e+07""",A,"=""35051.264""","=""46403.065""","=""3s.3p""","=""1P*""","=""1""","=""3s.3d""","=""1D""","=""2""",,
Fe,1,"=""881.05891""","=""0.00023""","=""170""","=""""",,"=""40404.518""","=""51754.497""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""1""","=""3d6.(5D).4s (6D).4d""","=""f 5F""","=""1""",,
Fe,1,"=""881.69390""","=""0.00023""","=""1050""","=""""",,"=""40871.412""","=""52213.230""","=""3d8""","=""3P""","=""2""","=""3d7.(2D2).4p""","=""t 3D*""","=""3""",,
Fe,1,"=""881.9307""","=""0.0006""","=""32""","=""""",,"=""40231.336""","=""51570.097""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""e 7S""","=""3""",,
Ti,1,"=""882.1841""","=""0.0009""","=""9""","=""""",,"=""8602.3441""","=""19937.855""","=""3d2.4s2""","=""a 3P""","=""2""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3D*""","=""1""",,
Fe,1,"=""882.1910""","=""0.0006""","=""91""","=""""",,"=""40404.518""","=""51739.920""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""1""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""2""",,
Ti,1,"=""882.3575""","=""0.0009""","=""8""","=""""",,"=""14105.634""","=""25438.908""","=""3d3.(4P).4s""","=""a 5P""","=""3""","=""3d3.(4F).4p""","=""y 3D*""","=""2""",,
Fe,1,"=""882.66436""","=""0.00023""","=""23400""","=""3.53e+05""",C,"=""17726.988""","=""29056.324""","=""3d7.(4P).4s""","=""a 5P""","=""2""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5P*""","=""3""",,
Fe,1,"=""883.0511""","=""0.0006""","=""30""","=""""",,"=""39969.853""","=""51294.220""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""3""","=""3d6.(5D).4s (4D).5s""","=""e 3D""","=""3""",,
Fe,1,"=""883.5392""","=""0.0012""","=""28""","=""""",,"=""40052.035""","=""51370.145""","=""3d5.(6S).4s2.4p""","=""y 7P*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""e 5G""","=""2""",,
Mg,1,"=""883.948""","=""""","=""5d""","=""""",,"=""49346.729""","=""60659.69""","=""3s.4p""","=""1P*""","=""1""","=""3s.11d""","=""1D""","=""2""",,
Fe,1,"=""884.07256""","=""0.00023""","=""331""","=""""",,"=""46901.832""","=""58213.124""","=""3d6.(3P2).4s.4p.(3P*)""","=""y 3P*""","=""1""","=""3d6.4s.(4D).4d""","=""5P""","=""2""",,
Fe,1,"=""884.08553""","=""0.00023""","=""3720""","=""3.83e+05""",C,"=""23051.750""","=""34362.873""","=""3d7.(4P).4s""","=""b 3P""","=""0""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""1""",,
Fe,1,"=""884.91693""","=""0.00023""","=""347""","=""""",,"=""40404.518""","=""51705.014""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""1""","=""3d6.(5D).4s (6D).4d""","=""f 5F""","=""2""",,
Fe,1,"=""885.2180""","=""0.0012""","=""26""","=""""",,"=""43079.023""","=""54375.677""","=""3d6.(3P2).4s.4p.(3P*)""","=""x 5P*""","=""1""","=""3d7.(4F).4d""","=""f 5G""","=""2""",,
Fe,1,"=""886.4484""","=""0.0006""","=""69""","=""""",,"=""43210.025""","=""54490.999""","=""3d6.(3H).4s.4p.(3P*)""","=""y 5G*""","=""2""","=""3d7.(4F).4d""","=""e 5H""","=""3""",,
Ti,1,"=""886.5543""","=""0.0009""","=""3""","=""""",,"=""29914.737""","=""41194.378""","=""3d2.(1G).4s.4p.(3P*)""","=""x 3G*""","=""3""","=""3d2.4s.(2F).5s""","=""3F""","=""2""",,
Fe,1,"=""886.6022""","=""0.0006""","=""47""","=""""",,"=""40052.035""","=""51331.052""","=""3d5.(6S).4s2.4p""","=""y 7P*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""e 7F""","=""2""",,
Fe,1,"=""886.93670""","=""0.00024""","=""5400""","=""""",,"=""36686.176""","=""47960.940""","=""3d7.(4F).4p""","=""y 3F*""","=""4""","=""3d7.(4F).5s""","=""e 3F""","=""4""",,
Fe,1,"=""887.08635""","=""0.00024""","=""204""","=""""",,"=""24338.767""","=""35611.625""","=""3d6.4s2""","=""b 3G""","=""3""","=""3d7.(4F).4p""","=""z 5G*""","=""3""",,
Fe,1,"=""887.84606""","=""0.00024""","=""170""","=""""",,"=""40491.284""","=""51754.497""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""0""","=""3d6.(5D).4s (6D).4d""","=""f 5F""","=""1""",,
Fe,1,"=""888.0681""","=""0.0012""","=""44""","=""""",,"=""24118.819""","=""35379.208""","=""3d6.4s2""","=""b 3G""","=""4""","=""3d7.(4F).4p""","=""z 3G*""","=""5""",,
Fe,1,"=""888.1188""","=""0.0016""","=""40bl""","=""""",,"=""33801.572""","=""45061.329""","=""3d7.(4F).4p""","=""y 5D*""","=""2""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""3""",,
Fe,1,"=""888.1384""","=""0.0006""","=""28""","=""""",,"=""20874.482""","=""32133.991""","=""3d6.4s2""","=""b 3F2""","=""3""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""2""",,
Fe,1,"=""889.3845""","=""0.0016""","=""32bl""","=""""",,"=""43022.985""","=""54266.716""","=""3d6.(3H).4s.4p.(3P*)""","=""y 5G*""","=""4""","=""3d7.(4F).4d""","=""e 3H""","=""5""",,
Fe,1,"=""890.5368""","=""0.0006""","=""28""","=""""",,"=""40231.336""","=""51460.518""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""e 7G""","=""3""",,
Fe,1,"=""890.8439""","=""0.0006""","=""115""","=""""",,"=""40842.154""","=""52067.469""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""e 5P""","=""2""",,
Fe,1,"=""892.24621""","=""0.00024""","=""560""","=""""",,"=""40842.154""","=""52049.823""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""3""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""2""",,
Fe,1,"=""892.5101""","=""0.0006""","=""55""","=""""",,"=""40257.314""","=""51461.670""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""5""","=""3d6.(5D).4s (6D).4d""","=""f 5F""","=""4""",,
Mg,1,"=""892.6019""","=""""","=""20""","=""5.86e+05""",B,"=""43503.333""","=""54706.536""","=""3s.4s""","=""1S""","=""0""","=""3s.5p""","=""1P*""","=""1""",,
Fe,1,"=""892.91082""","=""0.00008""","=""1320""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,
Fe,1,"=""893.15286""","=""0.00024""","=""372""","=""3.57e+06""",C+,"=""41018.051""","=""52214.345""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""2""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""1""",,
Fe,1,"=""894.2786""","=""0.0006""","=""1260""","=""""",,"=""39625.804""","=""50807.997""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""4""","=""3d6.(5D).4s (6D).4d""","=""f 7D""","=""4""",,
Fe,1,"=""894.5350""","=""0.0006""","=""60""","=""""",,"=""39969.853""","=""51148.848""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""e 7F""","=""3""",,
